season,name,league_id,draft_id
2024,Stoned Lack Dynasty 22,1048511690419064832,1048511690419064833
2023,Stoned Lack Dynasty 22,990988201391087616,990988202842320896
2025,Stoned Lack Dynasty 23,1204822524987195392,1204822524999761920
2024,Stoned Lack Dynasty 23,1066442549130309632,1066442549130309633
2023,Stoned Lack Dynasty 23,995400667705536512,995400668858875904
2025,Stoned Lack Dynasty 24,1194741490742648832,1194741490742648833
2024,Stoned Lack Dynasty 24,1075864670105399296,1075864671212679168
2025,Stoned Lack Dynasty 25,1183111980349202432,1183111980353396736
2024,Stoned Lack Dynasty 25,1090714203226267648,1090714204409008128
2025,Stoned Lack Dynasty 26,1196774145552044032,1196774145560412160
2024,Stoned Lack Dynasty 26,1101960833485221888,1101960834936336384
2025,Stoned Lack Dynasty 27,1180590776307220480,1180590776307220481
2024,Stoned Lack Dynasty 27,1109910619613929472,1109910621145092096
2025,Stoned Lack Dynasty 28,1180196379875319808,1180196379875319809
2024,Stoned Lack Dynasty 28,1127689977992757248,1127689979246911488
2025,Stoned Lack Dynasty 29,1205588222306947072,1205588222315347968
2024,Stoned Lack Dynasty 29,1129857732640841728,1129857734653906944
2025,Stoned Lack Dynasty 30,1207817141764493312,1207817141777080320
2024,Stoned Lack Dynasty 30,1132013019371802624,1132013020772814848
2025,Stoned Lack Dynasty 31,1198377313197117440,1198377314392485888
2025,Stoned Lack Dynasty 32,1207100721535655936,1218740269936033792
2025,Stoned Lack  IDP Dynasty 33,1208531949958742016,1224835465740288000
2025,Stoned Lack Dynasty 34,1222678226208296960,1222678227483377664
2025,Stoned Lack Dynasty IDP Only,1201660025227976704,1201660025236369408
2024,Stoned Lack Dynasty IDP Only,1109910972271075328,1109910973801922560
2025,Stoned Lack Bestball Dynasty,1196950328071704576,1196950328075890688
2024,Stoned Lack Bestball Dynasty,1067047866012696576,1067047866012696577
2023,Stoned Lack Bestball Dynasty,917773598352355328,917773598352355329
2022,Stoned Lack Bestball Dynasty,825053025025523712,825053026120228864
