name,team,player_position,min_pick,max_pick,avg_pick,pick_count,adp_overall_pick,adp_roundpick
Baker Mayfield,TB,QB,72,131,102.56,16,101,9.5
Kyler Murray,ARI,QB,73,126,102.8,20,102,9.6
Chris Godwin,TB,WR,87,118,103.39,18,103,9.7
Josh Downs,IND,WR,83,128,104.47,19,104,9.8
Keon Coleman,BUF,WR,87,125,105.12,17,105,9.9
Rhamondre Stevenson,NE,RB,94,136,105.89,19,106,9.10
Jaydon Blue,DAL,RB,76,120,107.17,18,107,9.11
Colston Loveland,CHI,TE,85,131,107.95,20,108,9.12
Jayden Higgins,HOU,WR,93,129,108.16,19,109,10.1
Michael Pittman,IND,WR,95,126,108.17,18,110,10.2
Jacory Croskey-Merritt,WAS,RB,77,148,108.17,18,111,10.3
Austin Ekeler,WAS,RB,91,149,111.28,18,112,10.4
Tucker Kraft,GB,TE,88,131,113.82,17,113,10.5
Nick Chubb,HOU,RB,97,151,114.53,15,114,10.6
Jayden Reed,GB,WR,98,133,116.57,14,115,10.7
Keenan Allen,LAC,WR,83,157,116.79,14,116,10.8
Tank Bigsby,JAX,RB,94,137,117.44,18,117,10.9
Brock Purdy,SF,QB,37,169,119.08,13,118,10.10
Trey Benson,ARI,RB,97,126,119.1,10,119,10.11
Adam Thielen,CAR,WR,91,139,119.38,8,120,10.12
Jared Goff,DET,QB,75,148,119.38,8,121,11.1
Braelon Allen,NYJ,RB,88,150,120.5,12,122,11.2
Dalton Kincaid,BUF,TE,87,145,120.92,12,123,11.3
Tory Horton,SEA,WR,122,122,122.0,1,124,11.4
Rashid Shaheed,NO,WR,97,142,122.92,13,125,11.5
Tre' Harris,LAC,WR,102,169,124.82,11,126,11.6
Tyler Bass,BUF,K,125,125,125.0,1,127,11.7
Dak Prescott,DAL,QB,97,143,125.09,11,128,11.8
Najee Harris,LAC,RB,99,161,125.1,10,129,11.9
Rachaad White,TB,RB,96,169,125.23,13,130,11.10
Caleb Williams,CHI,QB,84,180,125.5,10,131,11.11
Justin Herbert,LAC,QB,110,154,125.88,8,132,11.12
Trevor Lawrence,JAX,QB,126,126,126.0,1,133,12.1
Kyle Pitts,ATL,TE,95,151,126.17,12,134,12.2
Brandon Aiyuk,SF,WR,116,143,127.0,12,135,12.3
Darnell Mooney,ATL,WR,116,160,127.33,9,136,12.4
Isaac Guerendo,SF,RB,94,175,128.33,12,137,12.5
Denver Broncos,DEN,DEF,94,153,128.85,13,138,12.6
Hollywood Brown,KC,WR,97,162,129.5,2,139,12.7
KeAndre Lambert-Smith,LAC,WR,130,130,130.0,1,140,12.8
Christian Kirk,HOU,WR,115,174,130.18,11,141,12.9
Tyjae Spears,TEN,RB,105,158,130.7,10,142,12.10
DeMario Douglas,NE,WR,131,131,131.0,1,143,12.11
Drake Maye,NE,QB,96,167,131.42,12,144,12.12
Brandon Aubrey,DAL,K,110,158,131.42,12,145,13.1
Jonnu Smith,PIT,TE,91,159,131.57,7,146,13.2
Romeo Doubs,GB,WR,106,152,131.67,3,147,13.3
Philadelphia Eagles,PHI,DEF,114,154,131.7,10,148,13.4
Jerome Ford,CLE,RB,111,164,132.38,8,149,13.5
Tyler Allgeier,ATL,RB,119,151,132.4,10,150,13.6
Jalen Royals,KC,WR,134,134,134.0,1,151,13.7
Marvin Mims,DEN,WR,119,148,134.29,7,152,13.8
Luther Burden,CHI,WR,106,156,134.67,12,153,13.9
Jake Ferguson,DAL,TE,115,149,134.71,7,154,13.10
Dylan Sampson,CLE,RB,110,161,135.43,7,155,13.11
Justin Fields,NYJ,QB,110,166,135.56,9,156,13.12
Ray Davis,BUF,RB,111,163,136.14,7,157,14.1
Cedric Tillman,CLE,WR,124,155,136.5,4,158,14.2
Bhayshul Tuten,JAX,RB,110,179,137.43,7,159,14.3
Ollie Gordon,MIA,RB,128,145,138.5,4,160,14.4
Kyle Williams,NE,WR,113,175,139.0,6,161,14.5
Efton Chism,NE,WR,140,140,140.0,1,162,14.6
Pittsburgh Steelers,PIT,DEF,121,161,140.0,10,163,14.7
Noah Gray,KC,TE,141,141,141.0,1,164,14.8
Kareem Hunt,KC,RB,141,141,141.0,1,165,14.9
Jaylen Wright,MIA,RB,131,147,141.33,3,166,14.10
Dont'e Thornton,LV,WR,120,164,142.0,2,167,14.11
Dallas Goedert,PHI,TE,115,154,143.0,8,168,14.12
Troy Franklin,DEN,WR,143,143,143.0,1,169,15.1
Baltimore Ravens,BAL,DEF,124,170,143.25,8,170,15.2
Rico Dowdle,CAR,RB,120,172,144.43,7,171,15.3
Justice Hill,BAL,RB,135,157,146.0,2,172,15.4
Elic Ayomanor,TEN,WR,135,160,147.5,2,173,15.5
Will Shipley,PHI,RB,137,167,148.0,3,174,15.6
Harold Fannin,CLE,TE,149,149,149.0,1,175,15.7
San Francisco 49ers,SF,DEF,123,175,150.0,4,176,15.8
